1;ИП Павлова В.В.;Широтная, 90;257564;89333975949
2;ИП Павлова В.В.;Республики, 37;476456213;89723809395
3;ИП Павлова В.В.;Республики, 107;346346222;89884700656
4;ИП Павлова В.В.;Мельникайте, 42;34561;89097674751
5;ИП Павлова В.В.;Широтная, 98;670789;89446033121
6;ИП Павлова В.В.;Тульская, 37;575449;89760096901
7;ИП Павлова В.В.;Ленина, 49;457684;89550153391
8;ИП Павлова В.В.;Монтажников, 15;575469;89016679904
9;ИП Павлова В.В.;Монтажников, 47;345867;89871909605
10;ИП Павлова В.В.;Мельникайте, 75;684679;89302245308
11;ИП Павлова В.В.;Рижская,  10;567356;89702648953
12;ИП Павлова В.В.;Фестивальная, 95;356856;89284411408
13;ИП Павлова В.В.;Республики, 89;675645;89968342288
14;ИП Павлова В.В.;Харьковская, 58;457457;89034564122
15;ИП Павлова В.В.;Харьковская, 69;678656;89860058746
16;ИП Павлова В.В.;Мира, 36;568756;89457034286
17;ИП Павлова В.В.;Космонавтов, 85;687568;89395299217
18;ИП Павлова В.В.;Советская, 47;568568;89357900227
19;ИП Павлова В.В.;Лесная, 12;573456;89809813595
20;ИП Павлова В.В.;Сталина, 91;987045;89476765465
